"t","m","id","id2","cve","valor","DesGeo"
2014,3,"i11","a","16",0,"E"
2014,4,"i11","a","16",0,"E"
2015,1,"i11","a","16",0,"E"
2015,2,"i11","a","16",1,"E"
2015,3,"i11","a","16",0,"E"
2015,4,"i11","a","16",0,"E"
2016,1,"i11","a","16",0,"E"
2016,2,"i11","a","16",0,"E"
2016,3,"i11","a","16",0,"E"
2016,4,"i11","a","16",0,"E"
2012,2,"i11","a","17",0,"E"
2012,3,"i11","a","17",0,"E"
2012,4,"i11","a","17",0,"E"
2013,1,"i11","a","17",0,"E"
2013,2,"i11","a","17",0,"E"
2013,3,"i11","a","17",0,"E"
2013,4,"i11","a","17",0,"E"
2014,1,"i11","a","17",0,"E"
2014,2,"i11","a","17",0,"E"
2014,3,"i11","a","17",0,"E"
2014,4,"i11","a","17",0,"E"
2015,1,"i11","a","17",0,"E"
2015,2,"i11","a","17",0,"E"
2015,3,"i11","a","17",0,"E"
2015,4,"i11","a","17",1,"E"
2016,1,"i11","a","17",0,"E"
2016,2,"i11","a","17",1,"E"
2016,3,"i11","a","17",1,"E"
2016,4,"i11","a","17",0,"E"
2012,2,"i11","a","18",0,"E"
2012,3,"i11","a","18",0,"E"
2012,4,"i11","a","18",0,"E"
2013,1,"i11","a","18",0,"E"
2013,2,"i11","a","18",0,"E"
2013,3,"i11","a","18",0,"E"
2013,4,"i11","a","18",0,"E"
2014,1,"i11","a","18",0,"E"
2014,2,"i11","a","18",0,"E"
2014,3,"i11","a","18",0,"E"
2014,4,"i11","a","18",0,"E"
2015,1,"i11","a","18",0,"E"
2015,2,"i11","a","18",1,"E"
2015,3,"i11","a","18",0,"E"
2015,4,"i11","a","18",0,"E"
2016,1,"i11","a","18",0,"E"
2016,2,"i11","a","18",0,"E"
2016,3,"i11","a","18",0,"E"
2016,4,"i11","a","18",0,"E"
2012,2,"i11","a","19",0,"E"
2012,3,"i11","a","19",0,"E"
2012,4,"i11","a","19",0,"E"
2013,1,"i11","a","19",1,"E"
2013,2,"i11","a","19",0,"E"
2013,3,"i11","a","19",0,"E"
2013,4,"i11","a","19",0,"E"
2014,1,"i11","a","19",0,"E"
2014,2,"i11","a","19",0,"E"
2014,3,"i11","a","19",0,"E"
2014,4,"i11","a","19",0,"E"
2015,1,"i11","a","19",0,"E"
2015,2,"i11","a","19",0,"E"
2015,3,"i11","a","19",2,"E"
2015,4,"i11","a","19",3,"E"
2016,1,"i11","a","19",3,"E"
2016,2,"i11","a","19",1,"E"
2016,3,"i11","a","19",1,"E"
2016,4,"i11","a","19",0,"E"
2012,2,"i11","a","2",0,"E"
2012,3,"i11","a","2",0,"E"
2012,4,"i11","a","2",0,"E"
2013,1,"i11","a","2",0,"E"
2013,2,"i11","a","2",1,"E"
2013,3,"i11","a","2",0,"E"
2013,4,"i11","a","2",0,"E"
2014,1,"i11","a","2",0,"E"
2014,2,"i11","a","2",0,"E"
2014,3,"i11","a","2",0,"E"
2014,4,"i11","a","2",0,"E"
2015,1,"i11","a","2",0,"E"
2015,2,"i11","a","2",1,"E"
2015,3,"i11","a","2",0,"E"
2015,4,"i11","a","2",1,"E"
2016,1,"i11","a","2",0,"E"
2016,2,"i11","a","2",1,"E"
2016,3,"i11","a","2",0,"E"
2016,4,"i11","a","2",0,"E"
2012,2,"i11","a","20",0,"E"
2012,3,"i11","a","20",0,"E"
2012,4,"i11","a","20",0,"E"
2013,1,"i11","a","20",0,"E"
2013,2,"i11","a","20",0,"E"
2013,3,"i11","a","20",0,"E"
2013,4,"i11","a","20",0,"E"
2014,1,"i11","a","20",0,"E"
2014,2,"i11","a","20",0,"E"
2014,3,"i11","a","20",0,"E"
2014,4,"i11","a","20",0,"E"
2015,1,"i11","a","20",0,"E"
2015,2,"i11","a","20",1,"E"
2015,3,"i11","a","20",0,"E"
2015,4,"i11","a","20",0,"E"
2016,1,"i11","a","20",0,"E"
2016,2,"i11","a","20",0,"E"
2016,3,"i11","a","20",0,"E"
2016,4,"i11","a","20",0,"E"
2012,2,"i11","a","21",0,"E"
2012,3,"i11","a","21",0,"E"
2012,4,"i11","a","21",0,"E"
2013,1,"i11","a","21",0,"E"
2013,2,"i11","a","21",0,"E"
2013,3,"i11","a","21",0,"E"
2013,4,"i11","a","21",0,"E"
2014,1,"i11","a","21",0,"E"
2014,2,"i11","a","21",0,"E"
2014,3,"i11","a","21",0,"E"
2014,4,"i11","a","21",0,"E"
2015,1,"i11","a","21",0,"E"
2015,2,"i11","a","21",0,"E"
2015,3,"i11","a","21",1,"E"
2015,4,"i11","a","21",1,"E"
2016,1,"i11","a","21",2,"E"
2016,2,"i11","a","21",0,"E"
2016,3,"i11","a","21",0,"E"
2016,4,"i11","a","21",0,"E"
2012,2,"i11","a","22",0,"E"
2012,3,"i11","a","22",0,"E"
2012,4,"i11","a","22",0,"E"
2013,1,"i11","a","22",0,"E"
2013,2,"i11","a","22",1,"E"
2013,3,"i11","a","22",0,"E"
2013,4,"i11","a","22",0,"E"
2014,1,"i11","a","22",0,"E"
2014,2,"i11","a","22",0,"E"
2014,3,"i11","a","22",0,"E"
2014,4,"i11","a","22",0,"E"
2015,1,"i11","a","22",0,"E"
2015,2,"i11","a","22",1,"E"
2015,3,"i11","a","22",1,"E"
2015,4,"i11","a","22",1,"E"
2016,1,"i11","a","22",3,"E"
2016,2,"i11","a","22",1,"E"
2016,3,"i11","a","22",0,"E"
2016,4,"i11","a","22",0,"E"
2012,2,"i11","a","23",0,"E"
2012,3,"i11","a","23",0,"E"
2012,4,"i11","a","23",0,"E"
2013,1,"i11","a","23",0,"E"
2013,2,"i11","a","23",0,"E"
2013,3,"i11","a","23",0,"E"
2013,4,"i11","a","23",0,"E"
2014,1,"i11","a","23",0,"E"
2014,2,"i11","a","23",0,"E"
2014,3,"i11","a","23",0,"E"
2014,4,"i11","a","23",0,"E"
2015,1,"i11","a","23",0,"E"
2015,2,"i11","a","23",1,"E"
2015,3,"i11","a","23",0,"E"
2015,4,"i11","a","23",2,"E"
2016,1,"i11","a","23",0,"E"
2016,2,"i11","a","23",1,"E"
2016,3,"i11","a","23",0,"E"
2016,4,"i11","a","23",0,"E"
2012,2,"i11","a","24",0,"E"
2012,3,"i11","a","24",0,"E"
2012,4,"i11","a","24",1,"E"
2013,1,"i11","a","24",0,"E"
2013,2,"i11","a","24",0,"E"
2013,3,"i11","a","24",0,"E"
2013,4,"i11","a","24",0,"E"
2014,1,"i11","a","24",0,"E"
2014,2,"i11","a","24",0,"E"
2014,3,"i11","a","24",0,"E"
2014,4,"i11","a","24",0,"E"
2015,1,"i11","a","24",0,"E"
2015,2,"i11","a","24",1,"E"
2015,3,"i11","a","24",0,"E"
2015,4,"i11","a","24",1,"E"
2016,1,"i11","a","24",2,"E"
2016,2,"i11","a","24",1,"E"
2016,3,"i11","a","24",0,"E"
2016,4,"i11","a","24",0,"E"
2012,2,"i11","a","25",0,"E"
2012,3,"i11","a","25",0,"E"
2012,4,"i11","a","25",0,"E"
2013,1,"i11","a","25",0,"E"
2013,2,"i11","a","25",0,"E"
2013,3,"i11","a","25",0,"E"
2013,4,"i11","a","25",0,"E"
2014,1,"i11","a","25",0,"E"
2014,2,"i11","a","25",0,"E"
2014,3,"i11","a","25",0,"E"
2014,4,"i11","a","25",1,"E"
